"","number","name","already_taken","category","X","weight_Ukraine","weight_kyiv"
"1",1,"Рис",TRUE,"Рис","","0,0043","0,00289"
"3",2,"Хліб пшеничний з борошна вищого ґатунку",NA,"Хліб","","0,00667","0,00316"
"4",3,"Хліб пшеничний з борошна першого ґатунку",NA,"Хліб","","0,00608","0,00288"
"5",4,"Хліб житній, житньо-пшеничний",NA,"Хліб","","0,00495","0,00455"
"6",5,"Хліб заварний",NA,"Хліб","","0,00212","0,00195"
"7",6,"Батон",NA,"Хліб","","0,00781","0,0037"
"8",7,"Багет",NA,"Хліб","","0,00228","0,00108"
"9",8,"Макаронні вироби з твердих сортів пшениці",NA,"Макаронні вироби","","0,00211","0,0013"
"10",9,"Макаронні вироби з м’яких сортів пшениці",NA,"Макаронні вироби","","0,00475","0,00291"
"11",10,"Пельмені",TRUE,"Макаронні вироби","","0,00312","0,00215"
"12",11,"Здобні вироби",NA,"Кондитерські вироби з борошна","","0,00387","0,00526"
"13",12,"Вафлі",NA,"Кондитерські вироби з борошна","","0,00079","0,0007"
"14",13,"Печиво здобне",NA,"Кондитерські вироби з борошна","","0,00848","0,00551"
"15",14,"Печиво сухе",NA,"Кондитерські вироби з борошна","","0,00035","0,00073"
"16",15,"Торти",NA,"Кондитерські вироби з борошна","","0,00327","0,00602"
"17",16,"Борошно пшеничне",TRUE,"Інші продукти","","0,00433","0,00265"
"18",17,"Крупи манні",NA,"Інші продукти","","0,00037","0,0001"
"19",18,"Крупи гречані",TRUE,"Інші продукти","","0,00446","0,00304"
"20",19,"Пластівці вівсяні",TRUE,"Інші продукти","","0,00095","0,0012"
"21",20,"Крупи ячні",NA,"Інші продукти","","0,00031","0,00019"
"22",21,"Пшоно",NA,"Інші продукти","","0,00043","0,00038"
"23",22,"Яловичина",NA,"Свіжа, охолоджена, заморожена яловичина і телятина","","0,00251","0,00135"
"24",23,"Вирізка яловича",NA,"Свіжа, охолоджена, заморожена яловичина і телятина","","0,00101","0,00078"
"25",24,"Натуральні напівфабрикати з яловичини",NA,"Свіжа, охолоджена, заморожена яловичина і телятина","","0,00143","0,00637"
"26",25,"Свинина",NA,"Свіжа, охолоджена, заморожена свинина","","0,01811","0,00977"
"27",26,"Вирізка свиняча",NA,"Свіжа, охолоджена, заморожена свинина","","0,004","0,00126"
"28",27,"Натуральні напівфабрикати зі свинини",NA,"Свіжа, охолоджена, заморожена свинина","","0,00912","0,01947"
"29",28,"Птиця (тушки курячі)",NA,"Свіже, охолоджене, заморожене м’ясо свійської птиці","","0,00536","0,00403"
"30",29,"Окремі порційні частини курячі",TRUE,"Свіже, охолоджене, заморожене м’ясо свійської птиці","","0,00598","0,0093"
"31",30,"Філе куряче",TRUE,"Свіже, охолоджене, заморожене м’ясо свійської птиці","","0,01219","0,01896"
"32",31,"Ковбаси варені вищого ґатунку",NA,"Сушене, солене, копчене м’ясо та їстівні субпродукти","","0,00693","0,00496"
"33",32,"Ковбаси варені першого ґатунку",NA,"Сушене, солене, копчене м’ясо та їстівні субпродукти","","0,00202","0,00145"
"34",33,"Сосиски, сардельки вищого ґатунку",TRUE,"Сушене, солене, копчене м’ясо та їстівні субпродукти","","0,00822","0,00765"
"35",34,"Сосиски, сардельки першого ґатунку",NA,"Сушене, солене, копчене м’ясо та їстівні субпродукти","","0,00318","0,00296"
"36",35,"Ковбаси варено-копчені",NA,"Сушене, солене, копчене м’ясо та їстівні субпродукти","","0,00885","0,00577"
"37",36,"Ковбаси сирокопчені",NA,"Сушене, солене, копчене м’ясо та їстівні субпродукти","","0,00172","0,00315"
"38",37,"Вироби з м’яса варено-копчені",NA,"Сушене, солене, копчене м’ясо та їстівні субпродукти","","0,00162","0,00224"
"39",38,"Вироби з м’яса делікатесні",TRUE,"Сушене, солене, копчене м’ясо та їстівні субпродукти","","0,00077","0,00264"
"40",39,"Субпродукти яловичі",NA,"Сушене, солене, копчене м’ясо та їстівні субпродукти","","0,00054","0,00073"
"41",40,"Субпродукти свинячі",NA,"Сушене, солене, копчене м’ясо та їстівні субпродукти","","0,00126","0,00086"
"42",41,"Субпродукти курячі",NA,"Сушене, солене, копчене м’ясо та їстівні субпродукти","","0,00214","0,00178"
"43",42,"Фарш м’ясний",TRUE,"Інші консервовані та перероблені види м’яса та продукти з нього","","0,00484","0,00234"
"44",43,"Фарш курячий",TRUE,"Інші консервовані та перероблені види м’яса та продукти з нього","","0,00315","0,00194"
"45",44,"Вироби з м’яса кулінарні",NA,"Інші консервовані та перероблені види м’яса та продукти з нього","","0,0015","0,00202"
"46",45,"Риба жива, охолоджена",NA,"Свіжа, охолоджена та заморожена риба","","0,0053","0,00291"
"47",46,"Риба морожена",NA,"Свіжа, охолоджена та заморожена риба","","0,01349","0,01407"
"48",47,"Філе мороженої риби",NA,"Свіжа, охолоджена та заморожена риба","","0,00055","0,00172"
"49",48,"Морепродукти",NA,"Свіжі, охолоджені та заморожені морепродукти","","0,00033","0,00077"
"50",49,"Кілька солона",NA,"Сушена, копчена, солона риба та морепродукти","","0,00058","0,00015"
"51",50,"Скумбрія копчена",NA,"Сушена, копчена, солона риба та морепродукти","","0,00289","0,00435"
"52",51,"Оселедці",NA,"Сушена, копчена, солона риба та морепродукти","","0,00393","0,00317"
"53",52,"Консерви рибні в олії",NA,"Інші консервовані чи перероблені види риби та морепродуктів і продукти з них","","0,00099","0,00111"
"54",53,"Крабові палички",TRUE,"Інші консервовані чи перероблені види риби та морепродуктів і продукти з них","","0,00088","0,00082"
"55",54,"Молоко пастеризоване жирністю до 2,6% включно",TRUE,"Молоко","","0,00631","0,01354"
"56",55,"Молоко з підвищеним вмістом жиру",NA,"Молоко","","0,0092","0,00176"
"57",56,"Кефір",TRUE,"Кисломолочна продукція","","0,00332","0,00633"
"58",57,"Йогурт",TRUE,"Кисломолочна продукція","","0,00261","0,00434"
"59",58,"Сири тверді типу Едам",NA,"Сир і м’який сир (творог)","","0,00749","0,01129"
"60",59,"Сири тверді типу Емменталь",NA,"Сир і м’який сир (творог)","","0,00169","0,00254"
"61",60,"Сири розсольні",NA,"Сир і м’який сир (творог)","","0,00139","0,00224"
"62",61,"Сири плавлені",NA,"Сир і м’який сир (творог)","","0,00119","0,00191"
"63",62,"Сири м’які нежирні",NA,"Сир і м’який сир (творог)","сир 5%","0,00091","0,00025"
"64",63,"Сири м’які жирні",TRUE,"Сир і м’який сир (творог)","","0,00644","0,0086"
"65",64,"Сирки та сиркова маса",NA,"Сир і м’який сир (творог)","","0,0011","0,00217"
"66",65,"Сметана жирністю до 15% включно",NA,"Інші молочні продукти","","0,00172","0,0016"
"67",66,"Сметана з підвищеним вмістом жиру",TRUE,"Інші молочні продукти","","0,00521","0,00484"
"68",67,"Яйця",TRUE,"Яйця","","0,00883","0,00887"
"70",68,"Масло вершкове",TRUE,"Масло","","0,01334","0,01099"
"71",69,"Спреди",NA,"Масло","","0,00109","0,00016"
"72",70,"Маргарин",TRUE,"","","0,00115","0,00044"
"73",71,"Олія оливкова",TRUE,"Оливкова олія","","0,00082","0,00145"
"74",72,"Олія соняшникова",TRUE,"Їстівна олія (окрім оливкової)","","0,01186","0,00832"
"75",73,"Сало",NA,"Інші їстівні тваринні жири","","0,00829","0,00635"
"76",74,"Лимони",NA,"Цитрусові (свіжі, охолоджені)","","0,00289","0,00342"
"77",75,"Апельсини",TRUE,"Цитрусові (свіжі, охолоджені)","","0,00304","0,0036"
"78",76,"Банани",TRUE,"Банани (свіжі, охолоджені)","","0,0053","0,00591"
"79",77,"Яблука",TRUE,"Яблука (свіжі, охолоджені)","","0,00467","0,00645"
"80",78,"Кісточкові",NA,"Кісточкові (свіжі, охолоджені)","","0,00303","0,00622"
"81",79,"Ягоди",NA,"Ягоди (свіжі, охолоджені, заморожені)","","0,00234","0,00382"
"82",80,"Виноград",TRUE,"Ягоди (свіжі, охолоджені, заморожені)","","0,00155","0,0025"
"83",81,"Кавуни",NA,"Інші види свіжих, охолоджених, заморожених фруктів","","0,00239","0,00278"
"84",82,"Ківі",NA,"Інші види свіжих, охолоджених, заморожених фруктів","","0,0015","0,00273"
"85",83,"Сухофрукти",TRUE,"Сухофрукти","","0,00143","0,00294"
"87",84,"Салати",NA,"Овочі","","0,00069","0,00163"
"88",85,"Капуста білокачанна",TRUE,"Овочі","","0,00397","0,00393"
"89",86,"Огірки",TRUE,"Овочі","","0,0036","0,00447"
"90",87,"Помідори",TRUE,"Овочі","","0,00539","0,00736"
"91",88,"Кабачки",TRUE,"Овочі","","0,00057","0,00084"
"92",89,"Баклажани",NA,"Овочі","","0,00047","0,00068"
"93",90,"Перець солодкий",NA,"Овочі","","0,00115","0,00136"
"94",91,"Цибуля ріпчаста",TRUE,"Овочі","","0,00361","0,00407"
"95",92,"Буряк",TRUE,"Овочі","","0,00083","0,00125"
"96",93,"Морква",TRUE,"Овочі","","0,00186","0,0024"
"97",94,"Гриби",TRUE,"Овочі","","0,00256","0,00209"
"98",95,"Бобові",NA,"Овочі","","0,00056","0,0004"
"99",96,"Овочі консервовані",TRUE,"Овочі","","0,00257","0,00384"
"100",97,"Гриби консервовані",NA,"Овочі","","0,00015","0,00017"
"101",98,"Паста томатна",NA,"Овочі","","0,00066","0,00033"
"102",99,"Картопля",TRUE,"Овочі","","0,01064","0,01"
"104",100,"Цукор",TRUE,"Цукор і штучні замінники цукру","","0,0075","0,00414"
"105",101,"Мед",NA,"Джеми, повидло, мед","","0,0022","0,00221"
"106",102,"Шоколад",TRUE,"Шоколад","","0,00288","0,00355"
"108",103,"Цукерки шоколадні",NA,"Кондитерські вироби з цукру","","0,01075","0,00859"
"109",104,"Карамель",NA,"Кондитерські вироби з цукру","","0,00194","0,00095"
"110",105,"Зефір",NA,"Кондитерські вироби з цукру","","0,00139","0,002"
"111",106,"Морозиво",NA,"Харчовий лід і морозиво","","0,00457","0,00454"
"112",107,"Кетчуп томатний",NA,"Соуси, приправи","","0,00101","0,00119"
"113",108,"Майонез",NA,"Соуси, приправи","","0,00508","0,00328"
"114",109,"Сіль",NA,"Сіль, прянощі та кулінарні трави","","0,00022","0,00012"
"115",110,"Часник",TRUE,"Сіль, прянощі та кулінарні трави","","0,00011","0,00013"
"116",111,"Спеції",NA,"Сіль, прянощі та кулінарні трави","","0,002","0,00168"
"117",112,"Супи",NA,"Бакалійні товари, десерти, супи","","0,00023","0,00004"
"118",113,"Молочні суміші для дитячого харчування",NA,"Бакалійні товари, десерти, супи","","0,00057","0,00022"
"119",114,"Кава мелена",TRUE,"Кава, чай і какао","","0,00515","0,00707"
"120",115,"Кава розчинна",TRUE,"Кава, чай і какао","","0,00569","0,0027"
"121",116,"Чай",TRUE,"Кава, чай і какао","","0,0067","0,00518"
"123",117,"Вода столово-мінеральна",NA,"Мінеральні води, безалкогольні напої, фруктові та овочеві соки","","0,00247","0,00349"
"124",118,"Вода питна",NA,"Мінеральні води, безалкогольні напої, фруктові та овочеві соки","","0,00033","0,00047"
"125",119,"Напої безалкогольні",NA,"Мінеральні води, безалкогольні напої, фруктові та овочеві соки","","0,00244","0,00284"
"126",120,"Соки фруктово-ягідні",TRUE,"Мінеральні води, безалкогольні напої, фруктові та овочеві соки","","0,00147","0,00251"
"127",121,"Горілка",TRUE,"Алкогольні напої","","0,00898","0,00953"
"128",122,"Горілка преміум класу",NA,"Алкогольні напої","","0,00239","0,00253"
"129",123,"Коньяк",TRUE,"Алкогольні напої","","0,00389","0,00329"
"130",124,"Вина столові вітчизняні",NA,"Алкогольні напої","","0,00496","0,00565"
"131",125,"Вина столові імпортні",NA,"Алкогольні напої","","0,00533","0,00607"
"132",126,"Вина ігристі",NA,"Алкогольні напої","","0,00506","0,00493"
"133",127,"Пиво вітчизняних марок",NA,"Алкогольні напої","","0,01301","0,01175"
"134",128,"Пиво, виготовлене за ліцензією",NA,"Алкогольні напої","","0,00156","0,00141"
"135",129,"Сигарети з фільтром вітчизняних марок",NA,"Тютюнові вироби","","0,01163","0,01203"
"136",130,"Сигарети з фільтром медіум класу",NA,"Тютюнові вироби","","0,01526","0,01579"
"137",131,"Сигарети з фільтром преміум класу",NA,"Тютюнові вироби","","0,00524","0,00542"
"138",132,"Сигарети без фільтру",NA,"Тютюнові вироби","","0,00125","0,00014"
